"AÑO","total_personas","hombres","mujeres","ESTUDIOS_Básico","ESTUDIOS_Medio","ESTUDIOS_Ninguno","ESTUDIOS_No Informa","ESTUDIOS_Pre-Básico","ESTUDIOS_Técnico","ESTUDIOS_Universitario","ESTUDIOS_Magíster - Doctorado","ACTIVIDAD_Dueña De Casa","ACTIVIDAD_Empleado","ACTIVIDAD_Empleado Doméstico","ACTIVIDAD_Empresario O Patrón","ACTIVIDAD_Estudiante","ACTIVIDAD_Jubilado O Pensionado","ACTIVIDAD_No Informa","ACTIVIDAD_Obrero O Jornalero","ACTIVIDAD_Otras Actividades","ACTIVIDAD_Religioso","ACTIVIDAD_Rentista","ACTIVIDAD_Sin Actividad","ACTIVIDAD_Trabajador Por Cuenta Propia","ACTIVIDAD_Tripulante","REGION_Antofagasta","REGION_Arica y Parinacota","REGION_Atacama","REGION_Aysén del General Carlos Ibáñez del Campo","REGION_Biobío","REGION_Coquimbo","REGION_La Araucanía","REGION_Libertador General Bernardo O'Higgins","REGION_Los Lagos","REGION_Los Ríos","REGION_Magallanes y de la Antártica Chilena","REGION_Maule","REGION_Metropolitana de Santiago","REGION_Sin Información","REGION_Tarapacá","REGION_Valparaíso","REGION_Ñuble","REGION_NA","PAIS_Alemania","PAIS_Angola","PAIS_Apátrida","PAIS_Argelia","PAIS_Argentina","PAIS_Australia","PAIS_Austria","PAIS_Bangladesh","PAIS_Bolivia","PAIS_Brasil","PAIS_Bulgaria","PAIS_Bélgica","PAIS_Camerún","PAIS_Canadá","PAIS_China","PAIS_Colombia","PAIS_Corea del Norte","PAIS_Corea del Sur","PAIS_Costa Rica","PAIS_Croacia","PAIS_Cuba","PAIS_Dinamarca","PAIS_Ecuador","PAIS_Egipto","PAIS_El Salvador","PAIS_Eslovaquia","PAIS_Eslovenia","PAIS_España","PAIS_Estados Unidos","PAIS_Filipinas","PAIS_Finlandia","PAIS_Francia","PAIS_Ghana","PAIS_Grecia","PAIS_Guatemala","PAIS_Haití","PAIS_Holanda","PAIS_Honduras","PAIS_Hungría","PAIS_India","PAIS_Indonesia","PAIS_Inglaterra","PAIS_Irlanda","PAIS_Irán","PAIS_Israel","PAIS_Italia","PAIS_Japón","PAIS_Jordania","PAIS_Letonia","PAIS_Lituania","PAIS_Líbano","PAIS_Malasia","PAIS_Marruecos","PAIS_México","PAIS_Nepal","PAIS_Nicaragua","PAIS_Nigeria","PAIS_Noruega","PAIS_Nueva Zelanda","PAIS_Otro país","PAIS_Pakistán","PAIS_Palestina","PAIS_Panamá","PAIS_Paraguay","PAIS_Perú","PAIS_Polonia","PAIS_Portugal","PAIS_República Checa","PAIS_República De Bielorrusia","PAIS_República De Serbia","PAIS_República Dominicana","PAIS_República del Congo","PAIS_Rumanía","PAIS_Rusia","PAIS_Singapur","PAIS_Siria","PAIS_Sudáfrica","PAIS_Suecia","PAIS_Suiza","PAIS_Tailandia","PAIS_Taiwán","PAIS_Trinidad y Tobago","PAIS_Turquía","PAIS_Ucrania","PAIS_Uruguay","PAIS_Venezuela","PAIS_Senegal","PAIS_Serbia y Montenegro","PAIS_Vietnam","PAIS_Países Bajos","PAIS_Reino Unido"
2010,66395,33349,33046,6876,18999,935,25960,526,4643,8456,0,5195,30535,9210,1164,7917,347,512,1867,2130,2066,56,3261,2069,66,8426,1786,937,190,1331,1345,536,648,655,316,845,598,40865,65,4793,2768,291,0,476,4,4,2,3848,168,34,10,6480,1341,10,59,14,274,1387,7797,4,477,109,14,451,27,2636,7,133,26,1,932,3055,71,34,660,3,13,98,705,86,130,8,173,82,246,22,15,33,567,73,13,4,3,22,5,19,687,11,73,8,43,55,89,112,8,214,714,28059,44,52,97,16,16,1168,8,38,116,7,16,57,56,64,16,38,6,57,33,834,718,0,0,0,0,0
2011,81352,40755,40597,9504,24343,1095,30701,607,5430,9672,0,5962,40105,10657,1412,9198,393,546,2467,2814,2060,63,3360,2233,82,10896,1965,1446,244,1461,1714,641,902,776,354,988,697,50558,3,5209,3153,345,0,506,3,4,2,3965,221,69,4,7642,1429,20,80,7,337,1601,13975,9,429,134,15,354,24,3084,10,147,30,16,1262,3064,57,34,712,4,12,123,1174,98,112,14,230,21,230,19,12,25,397,102,11,8,23,18,4,15,895,12,68,3,68,60,121,86,6,205,850,31937,125,69,15,18,20,2396,10,51,191,5,15,69,54,98,12,49,5,71,42,723,1102,3,0,0,0,0
2012,103024,51961,51063,10800,35215,1161,36801,846,6446,11755,0,6837,54650,12414,1752,10981,372,731,3559,3180,2262,83,3605,2550,48,15086,2560,2472,282,1500,2473,691,1114,901,399,1095,819,61856,2,7789,3642,343,0,501,4,0,7,4632,223,39,3,14273,1559,11,79,6,368,1856,18985,8,356,121,21,362,52,3402,16,162,29,10,2615,3301,47,38,714,7,18,164,1782,102,140,16,219,30,265,32,12,55,421,107,16,4,12,23,7,16,982,28,83,2,56,56,84,62,13,167,878,36297,55,135,30,18,26,4213,12,43,164,5,26,67,89,102,13,55,4,106,49,683,1165,4,1,3,0,0
2013,133111,67867,65244,13567,45998,1631,47131,1185,8725,14874,0,8096,76088,13755,1912,14104,414,749,4465,3589,2979,107,3753,2937,163,23657,3602,3976,301,1967,3251,839,1430,1250,463,1292,1030,76059,1,8964,4633,396,0,510,1,1,10,5933,232,103,3,27134,1541,22,98,7,298,1918,27123,2,289,145,10,508,46,4008,12,169,95,10,5221,3455,46,59,877,11,24,185,2500,103,142,21,215,19,263,28,35,26,631,80,10,14,12,19,8,16,1067,31,65,5,43,64,120,63,16,133,982,39233,105,338,73,13,14,3524,9,111,194,5,41,71,74,104,21,61,2,66,31,645,1525,4,6,4,0,0
2014,147777,75609,72168,15734,56899,1661,45456,1642,9770,16615,0,8297,84002,14179,2203,17218,493,1011,4257,5047,3258,124,4312,3237,139,21516,3439,4044,297,2094,3603,925,1662,1316,437,1322,1447,90903,0,8739,5626,407,0,719,1,0,6,6928,220,127,4,26470,1805,34,112,8,295,2285,31682,4,433,160,19,728,52,4464,18,163,48,15,4962,3595,75,53,975,7,26,150,4367,123,144,61,231,57,288,27,24,85,632,155,22,9,8,19,13,12,1155,18,75,5,73,64,126,73,16,104,1056,43782,92,388,64,12,13,2493,11,100,246,5,44,87,57,114,19,74,6,107,54,727,3581,2,3,11,0,0
2015,157893,83121,74772,15150,58499,2094,51137,1477,9375,20161,0,7476,92681,13721,2322,17188,455,2098,5498,5660,2705,88,5066,2682,253,19688,3164,3665,343,2260,3460,1081,2090,1498,501,1368,1764,101765,1,8400,6363,482,0,554,15,0,6,6556,159,116,14,22547,2182,120,116,5,181,2713,32756,0,480,155,16,1006,39,4760,26,203,12,10,3610,2876,117,25,904,14,39,115,10854,101,155,22,260,43,212,33,55,58,649,123,20,21,8,26,13,16,1135,19,89,8,37,61,173,96,16,100,1001,45532,126,373,43,19,24,1813,8,88,220,4,61,65,69,93,31,49,4,117,63,674,10552,5,5,4,0,0
2016,196194,108749,87445,16995,72590,2284,65256,1667,10140,27262,0,8283,122776,12870,2208,18893,457,2189,10723,5867,2394,86,6588,2556,304,17698,2879,3510,455,2762,4683,1647,3994,1953,624,1601,3276,132502,2,7586,10079,943,0,395,13,0,10,6396,121,48,21,20693,2663,72,72,6,194,2732,34445,0,341,126,38,861,31,6389,29,189,14,7,2550,2219,87,25,809,4,37,120,36156,92,126,10,301,48,206,28,20,47,548,124,11,5,6,18,8,11,987,75,66,2,35,32,96,189,24,108,1135,38771,71,307,28,11,14,1300,4,138,217,4,117,53,40,75,29,35,2,93,71,643,31887,8,0,1,4,0
2017,275429,154245,121184,30759,104971,2961,79487,3137,15210,38904,0,10923,177581,14618,2305,30952,571,3739,14745,6748,2216,101,8060,2632,238,18953,4105,4865,706,5560,9372,3876,10493,4834,1554,2111,11048,164451,2,9480,21642,2377,0,325,13,0,10,6065,87,89,15,25396,2862,44,63,6,168,3292,36097,2,314,117,31,802,20,7923,27,213,9,5,1910,1908,94,18,652,1,25,86,62577,62,138,10,247,20,162,29,25,31,549,113,9,8,7,10,2,12,938,78,83,8,27,24,103,197,13,135,1117,36970,57,257,15,18,19,1165,8,60,161,6,92,40,31,66,26,35,6,99,71,701,80056,40,0,7,0,0
2018,447060,242967,204093,44590,148906,3767,168580,4852,21541,54824,0,21445,242087,17022,2722,49275,990,18807,28001,19043,1972,95,35078,10302,221,28550,9846,7119,1075,13430,11453,7517,18064,9392,2711,3210,18421,255052,1385,19891,35101,4843,0,325,16,1,8,6338,86,66,14,40883,3063,6,41,7,169,3510,45491,0,147,128,31,5978,12,9280,34,214,14,9,1471,1648,83,16,567,10,24,112,106159,76,170,5,215,29,143,18,21,14,541,99,10,7,11,20,1,12,861,17,116,7,42,34,129,211,12,122,1301,49900,86,333,34,9,15,7580,3,41,147,6,105,46,38,64,27,53,7,89,72,893,157247,53,0,6,1,0
2019,286327,145151,141176,33553,113285,2758,56803,4990,22236,52702,0,12299,179998,13276,1672,37670,1510,6305,8712,10563,1902,57,9380,2798,185,18133,5903,5988,1126,11443,7051,6578,12479,7642,2363,3543,13541,151289,181,10758,24722,3587,0,266,16,0,5,6231,96,48,4,24229,2951,6,48,15,102,2291,28006,0,153,107,41,1675,20,5711,29,155,7,5,1396,1567,57,15,434,11,20,74,27055,47,168,12,186,27,112,14,20,16,450,85,6,5,5,3,4,11,728,5,154,15,38,21,121,117,11,121,1025,23425,35,252,15,13,10,840,3,31,153,2,60,41,32,38,19,32,3,81,46,734,154067,4,0,17,1,0
2020,127532,63515,64017,15896,56383,1338,22411,2496,9416,19592,0,7297,73899,7130,827,17676,636,3741,3535,5416,774,49,4549,1901,102,9128,3987,2847,617,4057,2731,2600,4403,3781,925,1289,5229,71721,84,3958,8509,1666,0,186,2,0,3,3981,47,39,1,13493,1859,45,30,7,81,1168,15836,4,72,70,9,1784,18,3146,14,90,10,0,1019,844,31,10,310,9,11,61,14656,36,94,2,114,18,85,14,15,10,283,98,5,3,8,9,0,3,644,4,70,13,16,14,73,68,4,69,549,14538,22,145,35,8,8,984,3,33,84,1,25,19,15,31,11,18,2,43,48,373,49796,4,0,19,0,0
2021,276095,138868,137227,8542,31590,956,217037,1179,4989,11802,0,4079,39740,3717,512,9369,291,207542,1286,2755,639,26,4020,1997,122,18492,6502,4106,418,7127,6933,2451,9337,5066,1030,1851,5933,171913,2317,12931,17961,1679,48,122,7,0,2,4744,41,16,5,25786,1839,9,25,13,77,1127,42278,1,124,76,3,1667,7,8128,16,165,5,2,898,768,55,15,230,7,8,65,9135,27,120,9,109,32,47,8,13,9,317,54,4,0,4,7,2,4,603,8,85,9,19,15,134,42,2,63,866,37416,22,160,10,1,8,2403,1,11,78,1,40,17,22,36,4,11,4,53,55,433,135148,44,0,7,13,19
2022,87169,43552,43617,12363,26615,1821,28892,1434,4737,11306,1,4192,34281,3060,572,16188,544,15850,1345,2662,1069,63,5533,1712,98,6283,1386,1390,225,1854,1689,854,1938,1391,290,784,1429,40942,19621,2432,4153,506,2,436,7,0,5,4777,72,22,1,7816,1618,6,50,5,93,1149,19339,2,123,107,3,838,21,3431,7,91,6,3,1351,1274,119,60,596,5,6,47,4864,29,60,7,194,12,61,9,12,18,343,162,6,3,1,5,3,9,720,11,61,7,18,16,77,26,1,47,527,12678,25,121,15,7,10,739,0,17,136,3,10,21,23,41,11,20,0,33,22,297,22067,1,0,19,19,39
2023,126753,60418,66335,24368,47697,4642,21246,2110,9574,17115,1,9102,35044,1489,730,31116,1122,19310,2302,7486,690,163,14019,3988,192,7800,2218,1582,234,2332,2150,996,2311,1714,401,1035,1852,38195,52178,5238,5726,774,17,465,4,0,12,5451,98,36,11,22860,1751,4,85,5,82,2446,17841,0,199,119,6,2372,33,3905,38,87,11,0,1403,719,121,27,763,11,7,45,7781,0,91,3,253,100,0,15,37,7,261,225,3,2,1,9,3,30,1068,61,70,19,19,22,151,99,10,63,687,12405,17,111,11,0,0,2460,2,11,395,1,38,32,30,54,14,11,4,65,20,312,38450,1,0,13,81,108
2024,229495,110024,119471,41686,111151,7481,24751,3572,18784,22068,2,16645,73794,3133,890,49022,1286,30362,10486,14896,1881,180,16955,9661,304,14492,3939,2798,313,3289,3403,1237,4432,2450,471,1286,2860,58495,111536,10270,7349,869,6,561,12,0,28,7208,89,44,9,81204,2494,6,82,3,142,3693,25441,0,176,93,3,2375,34,6714,47,114,6,4,1556,1497,150,35,874,11,8,102,15300,0,95,12,313,108,0,19,35,13,323,266,5,2,4,36,0,29,1132,117,81,29,30,34,188,166,11,67,920,22913,43,146,26,0,0,2118,1,19,419,18,52,37,46,70,18,12,1,108,38,480,48525,2,0,27,71,155
