"Anho","Mes","1. Nacional"
2010,"Marzo",9.2275980636192
2010,"Abril",8.836054099283
2010,"Mayo",9.0877307261896
2010,"Junio",8.6560640009262
2010,"Julio",8.5111787141127
2010,"Agosto",8.4362750412026
2010,"Septiembre",8.1245686923359
2010,"Octubre",7.8146967084653
2010,"Noviembre",7.2250504372039
2010,"Diciembre",7.2101288890971
2011,"Enero",7.4417617188178
2011,"Febrero",7.4427693646653
2011,"Marzo",7.5481165580962
2011,"Abril",7.2111118602051
2011,"Mayo",7.3047634518804
2011,"Junio",7.2122553970482
2011,"Julio",7.5533693014775
2011,"Agosto",7.5146494707645
2011,"Septiembre",7.6263811757401
2011,"Octubre",7.4366909896981
2011,"Noviembre",7.3319133368942
2011,"Diciembre",6.8146096671283
2012,"Enero",6.853915676547
2012,"Febrero",6.5283728037424
2012,"Marzo",6.7973028961148
2012,"Abril",6.7636742906146
2012,"Mayo",6.9418393842258
2012,"Junio",6.7812921942007
2012,"Julio",6.6649669414834
2012,"Agosto",6.5384289832067
2012,"Septiembre",6.5762953945396
2012,"Octubre",6.6949333295345
2012,"Noviembre",6.3597240604042
2012,"Diciembre",6.2246556879872
2013,"Enero",6.119549592693
2013,"Febrero",6.354761938598
2013,"Marzo",6.4261089083845
2013,"Abril",6.5390100414664
2013,"Mayo",6.5412356813197
2013,"Junio",6.2605406935358
2013,"Julio",5.8831519808406
2013,"Agosto",5.8489625959424
2013,"Septiembre",5.8604966913638
2013,"Octubre",5.9526644251095
2013,"Noviembre",5.8648368756726
2013,"Diciembre",5.7817319689281
2014,"Enero",6.2314665991056
2014,"Febrero",6.1846947292971
2014,"Marzo",6.4964041476347
2014,"Abril",6.1441471565352
2014,"Mayo",6.324242958052
2014,"Junio",6.5178319122478
2014,"Julio",6.5941218073472
2014,"Agosto",6.8264777631324
2014,"Septiembre",6.7605499259606
2014,"Octubre",6.5636702551218
2014,"Noviembre",6.2148680033327
2014,"Diciembre",6.2055968190967
2015,"Enero",6.2266912629249
2015,"Febrero",6.2152623703
2015,"Marzo",6.2288644027975
2015,"Abril",6.3558414864696
2015,"Mayo",6.7515088944151
2015,"Junio",6.6702240657655
2015,"Julio",6.6916061135188
2015,"Agosto",6.5585027061965
2015,"Septiembre",6.5439997153519
2015,"Octubre",6.4452389584113
2015,"Noviembre",6.1748227596574
2015,"Diciembre",5.8704192154739
2016,"Enero",5.9174359863914
2016,"Febrero",6.0461631026577
2016,"Marzo",6.49049906407
2016,"Abril",6.6052157884769
2016,"Mayo",7.027192121286
2016,"Junio",7.0180202335965
2016,"Julio",7.2671162502907
2016,"Agosto",7.0704324272928
2016,"Septiembre",7.0307198781385
2016,"Octubre",6.6808261954863
2016,"Noviembre",6.4033831152142
2016,"Diciembre",6.2004127300428
2017,"Enero",6.3693701245487
2017,"Febrero",6.7713485956733
2017,"Marzo",7.0402289496768
2017,"Abril",7.0779779734202
2017,"mayo",7.326344790601
2017,"Junio",7.3125193579654
2017,"Julio",7.2167784939905
2017,"Agosto",6.9075946714037
2017,"Septiembre",6.9952969791219
2017,"Octubre",6.984697394799
2017,"Noviembre",6.7039187219485
2017,"Diciembre",6.5126532130199
2018,"Enero",6.8254374445719
2018,"Febrero",7.0100532120791
2018,"Marzo",7.3760875809755
2018,"Abril",6.9937939491544
2018,"Mayo",7.3814464950714
2018,"Junio",7.5137144929646
2018,"Julio",7.8534584611052
2018,"Agosto",7.7190711079047
2018,"Septiembre",7.4702905165262
2018,"Octubre",7.4119068299065
2018,"Noviembre",7.3111275021128
2018,"Diciembre",7.1464633153887
2019,"Enero",7.1295721723762
2019,"Febrero",7.0342779076251
2019,"Marzo",7.23627924029
2019,"Abril",7.0963377412054
2019,"Mayo",7.2322801999576
2019,"Junio",7.2538126303226
2019,"Julio",7.5486410796646
2019,"Agosto",7.5718079861493
2019,"Septiembre",7.3372973397862
2019,"Octubre",7.1410798092785
2019,"Noviembre",6.9603082938941
2019,"Diciembre",7.0631690877494
2020,"Enero",7.4430743295789
2020,"Febrero",7.8105192968302
2020,"Marzo",8.2285090973616
2020,"Abril",9.0018555844912
2020,"Mayo",11.206932833479
2020,"Junio",12.217859680127
2020,"Julio",13.091216396143
2020,"Agosto",12.907461467072
2020,"Septiembre",12.34829068332
2020,"Octubre",11.577038760121
2020,"Noviembre",10.758022977255
2020,"Diciembre",10.286318749044
2021,"Enero",10.227160890761
2021,"Febrero",10.304521336183
2021,"Marzo",10.353809664207
2021,"Abril",10.244367108474
2021,"Mayo",10.037301451191
2021,"Junio",9.4964882170436
2021,"Julio",8.9332892027599
2021,"Agosto",8.5475660411635
2021,"Septiembre",8.4056111552988
2021,"Octubre",8.0766005069859
2021,"Noviembre",7.527649055274
2021,"Diciembre",7.1898934478904
2022,"Enero",7.271464819756
2022,"Febrero",7.4985219215408
2022,"Marzo",7.7978651688704
2022,"Abril",7.7474931765825
2022,"Mayo",7.8039797578749
2022,"Junio",7.8114737505625
2022,"Julio",7.9188115449306
2022,"Agosto",7.9293997650867
2022,"Septiembre",8.0400244066344
2022,"Octubre",7.9683805988207
2022,"Noviembre",7.9488231355874
2022,"Diciembre",7.8627488308129
2023,"Enero",8.0372443026616
2023,"Febrero",8.3676406179058
2023,"Marzo",8.808478760936
2023,"Abril",8.6597088797411
2023,"Mayo",8.5247377029714
2023,"Junio",8.5275846527762
2023,"Julio",8.7722140467169
2023,"Agosto",8.9956512830772
2023,"Septiembre",8.913008571937
2023,"Octubre",8.8864690786627
2023,"Noviembre",8.732412133756
2023,"Diciembre",8.4756393474728
2024,"Enero",8.4356310785176
2024,"Febrero",8.5042567185626
2024,"Marzo",8.6777779966085
2024,"Abril",8.5237837145473
2024,"Mayo",8.3128804231685
2024,"Junio",8.3481780359655
2024,"Julio",8.6841757807491
2024,"Agosto",8.9013222957233
2024,"Septiembre",8.7423149114593
2024,"Octubre",8.5800798734878
2024,"Noviembre",8.2176493561929
2024,"Diciembre",8.079730080387
